Participante,Modalidad,Edad,Género,Grupo,Validez,Creencia,ValidezxCreencia,Silogismo,Aceptación,Correctas,indice_creencia_norm
43,Resolución Individual,20.0,F,0,I,I,II,8,0,1,-0.25
44,Resolución Individual,22.0,F,0,V,C,VC,1,1,1,0.75
44,Resolución Individual,22.0,F,0,V,I,VI,2,0,0,0.75
44,Resolución Individual,22.0,F,0,I,C,IC,3,1,0,0.75
44,Resolución Individual,22.0,F,0,I,I,II,4,0,1,0.75
44,Resolución Individual,22.0,F,0,V,C,VC,5,1,1,0.75
44,Resolución Individual,22.0,F,0,V,I,VI,6,0,0,0.75
44,Resolución Individual,22.0,F,0,I,C,IC,7,0,1,0.75
44,Resolución Individual,22.0,F,0,I,I,II,8,0,1,0.75
45,Resolución Individual,21.0,F,0,V,C,VC,1,0,0,0.0
45,Resolución Individual,21.0,F,0,V,I,VI,2,0,0,0.0
45,Resolución Individual,21.0,F,0,I,C,IC,3,0,1,0.0
45,Resolución Individual,21.0,F,0,I,I,II,4,0,1,0.0
45,Resolución Individual,21.0,F,0,V,C,VC,5,0,0,0.0
45,Resolución Individual,21.0,F,0,V,I,VI,6,0,0,0.0
45,Resolución Individual,21.0,F,0,I,C,IC,7,1,0,0.0
45,Resolución Individual,21.0,F,0,I,I,II,8,1,0,0.0
46,Resolución Individual,24.0,F,0,V,C,VC,1,0,0,-0.5
46,Resolución Individual,24.0,F,0,V,I,VI,2,1,1,-0.5
46,Resolución Individual,24.0,F,0,I,C,IC,3,0,1,-0.5
46,Resolución Individual,24.0,F,0,I,I,II,4,1,0,-0.5
46,Resolución Individual,24.0,F,0,V,C,VC,5,1,1,-0.5
46,Resolución Individual,24.0,F,0,V,I,VI,6,1,1,-0.5
46,Resolución Individual,24.0,F,0,I,C,IC,7,0,1,-0.5
46,Resolución Individual,24.0,F,0,I,I,II,8,0,1,-0.5
47,Resolución Individual,20.0,F,0,V,C,VC,1,1,1,0.0
47,Resolución Individual,20.0,F,0,V,I,VI,2,1,1,0.0
47,Resolución Individual,20.0,F,0,I,C,IC,3,0,1,0.0
47,Resolución Individual,20.0,F,0,I,I,II,4,0,1,0.0
47,Resolución Individual,20.0,F,0,V,C,VC,5,1,1,0.0
47,Resolución Individual,20.0,F,0,V,I,VI,6,1,1,0.0
47,Resolución Individual,20.0,F,0,I,C,IC,7,1,0,0.0
47,Resolución Individual,20.0,F,0,I,I,II,8,1,0,0.0
48,Resolución Individual,22.0,F,0,V,C,VC,1,1,1,0.25
48,Resolución Individual,22.0,F,0,V,I,VI,2,1,1,0.25
48,Resolución Individual,22.0,F,0,I,C,IC,3,0,1,0.25
48,Resolución Individual,22.0,F,0,I,I,II,4,0,1,0.25
48,Resolución Individual,22.0,F,0,V,C,VC,5,1,1,0.25
48,Resolución Individual,22.0,F,0,V,I,VI,6,1,1,0.25
48,Resolución Individual,22.0,F,0,I,C,IC,7,1,0,0.25
48,Resolución Individual,22.0,F,0,I,I,II,8,0,1,0.25
49,Resolución Individual,20.0,F,0,V,C,VC,1,1,1,0.25
49,Resolución Individual,20.0,F,0,V,I,VI,2,1,1,0.25
49,Resolución Individual,20.0,F,0,I,C,IC,3,0,1,0.25
49,Resolución Individual,20.0,F,0,I,I,II,4,0,1,0.25
49,Resolución Individual,20.0,F,0,V,C,VC,5,1,1,0.25
49,Resolución Individual,20.0,F,0,V,I,VI,6,0,0,0.25
